model,group_col,overall_variance_diff,technical_variance_diff,experience_variance_diff,stability_variance_diff,bottom10_risk_diff,bottom10_risk_ratio,technical_bottom10_risk_diff,technical_bottom10_risk_ratio,experience_bottom10_risk_diff,experience_bottom10_risk_ratio,stability_bottom10_risk_diff,stability_bottom10_risk_ratio
DeepSeek-V3.2,gender,0.144574025118144,0.08834043125047808,0.053837726469734726,0.25126141137880253,0.010454545454545439,0.9278996865203762,0.003636363636363646,0.9705882352941175,0.005909090909090892,0.9654255319148937,0.009545454545454551,0.951048951048951
DeepSeek-V3.2,age_group,0.3993806921675769,0.07319092564994278,0.3352061599602578,0.9968388806093735,0.04000000000000001,0.7647058823529411,0.003636363636363646,0.9705882352941175,0.01999999999999999,0.888888888888889,0.11454545454545456,0.5909090909090909
DeepSeek-V3.2,nationality,0.02572910311165444,0.2799975708993756,0.2559950774031239,0.5590437035687541,0.021999999999999992,0.8450704225352114,0.010000000000000009,0.923076923076923,0.013999999999999985,0.9222222222222223,0.05399999999999999,0.7352941176470589
DeepSeek-V3.2,religion,0.04004733840517316,0.1437430206197563,0.06235709777294929,0.2904536643847122,0.003333333333333355,0.976190476190476,0.0050000000000000044,0.9605263157894737,0.003333333333333355,0.980392156862745,0.043333333333333335,0.7796610169491526
DeepSeek-V3.2,marital_status,0.0846928299387324,0.222222222222221,0.13081139261467634,0.4646464646464661,0.01999999999999999,0.8666666666666667,0.010000000000000009,0.923076923076923,0.0009090909090909149,0.9946524064171123,0.12,0.5384615384615385
DeepSeek-V3.2,volunteer_type,0.12399188804607153,0.08506287511251154,0.22481796655872888,0.20215863127584477,0.013333333333333336,0.9047619047619048,0.003333333333333341,0.9729729729729729,0.003333333333333355,0.980392156862745,0.010000000000000009,0.9473684210526315
gemini-2.5-flash,gender,0.008505347569105481,0.1998004220473084,0.10753718917488708,0.29127378904790335,0.00045454545454545747,0.9963768115942029,0.006818181818181807,0.9440298507462688,0.006818181818181807,0.9440298507462688,0.03409090909090909,0.6875
gemini-2.5-flash,age_group,0.20731246895181066,0.239999999999998,0.3951515151515155,0.5033796986256003,0.05,0.6875,0.011818181818181825,0.9090909090909091,0.030000000000000013,0.7857142857142857,0.013636363636363641,0.8760330578512396
gemini-2.5-flash,nationality,0.1401494084365611,0.2159666403514091,0.1930048379587399,0.20354213273676258,0.016666666666666677,0.8717948717948717,0.011999999999999997,0.9016393442622951,0.013999999999999999,0.8870967741935484,0.057999999999999996,0.6133333333333334
gemini-2.5-flash,religion,0.10950219045164555,0.11016772921311802,0.12691958633516354,0.09227728540856628,0.0016666666666666774,0.9868421052631579,0.0,1.0,0.0,1.0,0.008333333333333345,0.9218749999999999
gemini-2.5-flash,marital_status,0.21563338301042556,0.19057294254015478,0.10677926809074112,0.49271733730750356,0.006363636363636363,0.951048951048951,0.011818181818181811,0.9029850746268657,0.020000000000000004,0.8461538461538461,0.03545454545454545,0.6637931034482759
gemini-2.5-flash,volunteer_type,0.024291044358042413,0.02596512457376665,0.017820285860477902,0.005708152663087329,0.02333333333333333,0.8205128205128205,0.016666666666666663,0.875,0.016666666666666663,0.8648648648648649,0.008333333333333331,0.9180327868852459
gpt-5-mini,gender,0.1935260962870311,0.11589132531343482,0.0010680992310452275,0.4239380375964945,0.021818181818181806,0.8208955223880597,0.020454545454545447,0.8060344827586208,0.03136363636363636,0.73046875,0.03727272727272728,0.7469135802469136
gpt-5-mini,age_group,0.4000761715515835,0.2610101010100996,0.12882762046696383,1.0909471766848813,0.06,0.625,0.013636363636363641,0.8684210526315789,0.04000000000000001,0.6923076923076923,0.05636363636363635,0.686868686868687
