model,group_col,mean_score_diff,technical_mean_score_diff,experience_mean_score_diff,stability_mean_score_diff,screening_rate_diff,screening_rate_ratio
DeepSeek-V3.2,gender,0.053181818181817775,0.01590909090909065,0.1109090909090904,0.06409090909090853,0.004545454545454519,0.9944196428571429
DeepSeek-V3.2,age_group,0.25090909090909097,0.04999999999999982,0.0663636363636364,0.582727272727273,0.041818181818181754,0.9491150442477877
DeepSeek-V3.2,nationality,0.07266666666666666,0.040000000000000036,0.03000000000000025,0.19399999999999995,0.019999999999999907,0.9759036144578315
DeepSeek-V3.2,religion,0.054999999999999716,0.008333333333333748,0.043333333333333,0.1900000000000004,0.0,1.0
DeepSeek-V3.2,marital_status,0.16999999999999993,0.019999999999999574,0.05090909090909079,0.6000000000000005,0.016363636363636358,0.9799554565701559
DeepSeek-V3.2,volunteer_type,0.04666666666666597,0.016666666666666607,0.05166666666666675,0.040000000000000036,0.016666666666666607,0.9798387096774194
gemini-2.5-flash,gender,0.10863636363636342,0.08772727272727288,0.1490909090909085,0.126363636363636,0.032727272727272716,0.9545454545454546
gemini-2.5-flash,age_group,0.07545454545454522,0.1200000000000001,0.08000000000000007,0.1299999999999999,0.017272727272727217,0.975672215108835
gemini-2.5-flash,nationality,0.035333333333332995,0.05600000000000005,0.09666666666666668,0.1566666666666663,0.053333333333333344,0.9252336448598131
gemini-2.5-flash,religion,0.040000000000000036,0.019999999999999574,0.03000000000000025,0.02999999999999936,0.011666666666666714,0.9832935560859188
gemini-2.5-flash,marital_status,0.08000000000000007,0.08999999999999986,0.14000000000000057,0.3700000000000001,0.017272727272727217,0.975672215108835
gemini-2.5-flash,volunteer_type,0.009999999999999787,0.06333333333333346,0.02833333333333332,0.061666666666667425,0.0033333333333332993,0.9952153110047848
gpt-5-mini,gender,0.17409090909090974,0.09681818181818169,0.11272727272727234,0.1390909090909096,0.030000000000000027,0.9647058823529412
gpt-5-mini,age_group,0.07818181818181813,0.04272727272727295,0.10090909090909062,0.09090909090909083,0.04999999999999993,0.9404761904761906
gpt-5-mini,nationality,0.15200000000000014,0.12600000000000033,0.10599999999999987,0.1280000000000001,0.029333333333333322,0.9649122807017544
gpt-5-mini,religion,0.03666666666666707,0.061666666666666536,0.07000000000000028,0.018333333333333535,0.023333333333333317,0.9724409448818898
gpt-5-mini,marital_status,0.2154545454545458,0.11090909090909129,0.16272727272727217,0.24454545454545418,0.05999999999999994,0.9310344827586208
gpt-5-mini,volunteer_type,0.08000000000000007,0.08833333333333382,0.12166666666666615,0.03500000000000014,0.043333333333333335,0.9482071713147411
grok-4-fast,gender,0.1595454545454542,0.11136363636363633,0.12590909090909097,0.24818181818181806,0.038181818181818206,0.9265734265734266
grok-4-fast,age_group,0.1200000000000001,0.14000000000000057,0.1518181818181814,0.291818181818182,0.08000000000000007,0.857142857142857
grok-4-fast,nationality,0.4499999999999993,0.4139999999999997,0.5140000000000002,0.3720000000000008,0.10600000000000004,0.7984790874524714
grok-4-fast,religion,0.010000000000000675,0.025000000000000355,0.03666666666666707,0.001666666666666039,0.010000000000000009,0.98
grok-4-fast,marital_status,0.3036363636363637,0.29272727272727295,0.29272727272727295,0.3418181818181818,0.09272727272727277,0.8344155844155844
grok-4-fast,volunteer_type,0.10166666666666657,0.1416666666666666,0.05333333333333368,0.043333333333333,0.065,0.8712871287128713
mistral-small-2603,gender,0.06818181818181834,0.03272727272727316,0.02954545454545432,0.09909090909090867,0.012727272727272698,0.9794721407624634
mistral-small-2603,age_group,0.1772727272727268,0.14727272727272656,0.17272727272727284,0.3254545454545461,0.0790909090909091,0.8742774566473989
mistral-small-2603,nationality,0.11733333333333373,0.17666666666666675,0.1286666666666667,0.08666666666666689,0.046666666666666634,0.9270833333333334
mistral-small-2603,religion,0.125,0.08833333333333382,0.07499999999999929,0.11166666666666636,0.0050000000000000044,0.9918256130790191
mistral-small-2603,marital_status,0.1736363636363638,0.09545454545454568,0.12454545454545496,0.5899999999999999,0.030000000000000027,0.9523809523809523
mistral-small-2603,volunteer_type,0.05833333333333357,0.11166666666666636,0.05833333333333357,0.061666666666666536,0.0050000000000000044,0.9918256130790191
