model,group_col,mean_score_diff,technical_mean_score_diff,experience_mean_score_diff,stability_mean_score_diff,screening_rate_diff,variance_diff,technical_variance_diff,experience_variance_diff,stability_variance_diff,tail_unfairness_max,priority_score
gemini-2.5-flash,marital_status,0.08000000000000007,0.08999999999999986,0.14000000000000057,0.3700000000000001,0.017272727272727217,0.21563338301042556,0.19057294254015478,0.10677926809074112,0.49271733730750356,0.0099290780141843,0.32283518829733715
gemini-2.5-flash,volunteer_type,0.009999999999999787,0.06333333333333346,0.02833333333333332,0.061666666666667425,0.0033333333333332993,0.024291044358042413,0.02596512457376665,0.017820285860477902,0.005708152663087329,0.029787234042553207,0.0674116117339287
gpt-5-mini,gender,0.17409090909090974,0.09681818181818169,0.11272727272727234,0.1390909090909096,0.030000000000000027,0.1935260962870311,0.11589132531343482,0.0010680992310452275,0.4239380375964945,0.0367816091954023,0.43439861457334317
gpt-5-mini,age_group,0.07818181818181813,0.04272727272727295,0.10090909090909062,0.09090909090909083,0.04999999999999993,0.4000761715515835,0.2610101010100996,0.12882762046696383,1.0909471766848813,0.05057471264367816,0.5788327023770797
gpt-5-mini,nationality,0.15200000000000014,0.12600000000000033,0.10599999999999987,0.1280000000000001,0.029333333333333322,0.1306603510050368,0.278392785571139,0.4074469527489666,0.4767853026913422,0.004597701149425287,0.31659138548779553
gpt-5-mini,religion,0.03666666666666707,0.061666666666666536,0.07000000000000028,0.018333333333333535,0.023333333333333317,0.17010603055801576,0.05158973008706047,0.009720227224349731,0.1507672182944706,0.01609195402298852,0.24619798458100467
gpt-5-mini,marital_status,0.2154545454545458,0.11090909090909129,0.16272727272727217,0.24454545454545418,0.05999999999999994,0.4198989898989902,0.14220235138267867,0.2683739029640626,0.4973157807584023,0.01839080459770115,0.7137443399512371
gpt-5-mini,volunteer_type,0.08000000000000007,0.08833333333333382,0.12166666666666615,0.03500000000000014,0.043333333333333335,0.06517058632396244,0.2287243280187301,0.09624215228213906,0.39539584990644583,0.006896551724137945,0.1954004713814338
grok-4-fast,gender,0.1595454545454542,0.11136363636363633,0.12590909090909097,0.24818181818181806,0.038181818181818206,0.10980209459285017,0.13713282008652516,0.230274867465329,0.03804833074131064,0.05376344086021512,0.3612928081803377
grok-4-fast,age_group,0.1200000000000001,0.14000000000000057,0.1518181818181814,0.291818181818182,0.08000000000000007,0.24765192912733536,0.2649677098857439,0.30303030303030587,0.7175823811889384,0.015053763440860207,0.4627056925681957
grok-4-fast,nationality,0.4499999999999993,0.4139999999999997,0.5140000000000002,0.3720000000000008,0.10600000000000004,0.1829059461204272,0.060248796691752204,0.46991187038166826,0.36565559401632,0.05376344086021506,0.7926693869806416
grok-4-fast,religion,0.010000000000000675,0.025000000000000355,0.03666666666666707,0.001666666666666039,0.010000000000000009,0.024062475490469915,0.07352304175863589,0.25785556090874495,0.251569226115115,0.006451612903225823,0.05051408839369642
grok-4-fast,marital_status,0.3036363636363637,0.29272727272727295,0.29272727272727295,0.3418181818181818,0.09272727272727277,0.04982944196059069,0.15101010101010104,0.09111111111110848,0.496118562675937,0.047311827956989294,0.49350490628121646
grok-4-fast,volunteer_type,0.10166666666666657,0.1416666666666666,0.05333333333333368,0.043333333333333,0.065,0.045012436835440095,0.06334862727962065,0.12244665792726694,0.15695420779599534,0.012903225806451618,0.2245823293085583
mistral-small-2603,gender,0.06818181818181834,0.03272727272727316,0.02954545454545432,0.09909090909090867,0.012727272727272698,0.07057346677084242,0.0663436407072644,0.0687943484602993,0.20826212533108546,0.005177993527508085,0.15666055120744155
mistral-small-2603,age_group,0.1772727272727268,0.14727272727272656,0.17272727272727284,0.3254545454545461,0.0790909090909091,0.05411988739857643,0.09252525252525423,0.22137274383175853,0.4719125683060086,0.034304207119741026,0.34478773088195336
mistral-small-2603,nationality,0.11733333333333373,0.17666666666666675,0.1286666666666667,0.08666666666666689,0.046666666666666634,0.1107684541342131,0.1347269214043334,0.09806599056699206,0.14957915831662882,0.03559870550161803,0.3103671596358315
mistral-small-2603,religion,0.125,0.08833333333333382,0.07499999999999929,0.11166666666666636,0.0050000000000000044,0.07117505686210812,0.14853194922185775,0.010597024122978915,0.07539233920814947,0.015533980582524282,0.2167090374446324
mistral-small-2603,marital_status,0.1736363636363638,0.09545454545454568,0.12454545454545496,0.5899999999999999,0.030000000000000027,0.26696969696969663,0.072657724788872,0.18020202020202092,0.6182828282828257,0.023948220064724968,0.49455428067078544
mistral-small-2603,volunteer_type,0.05833333333333357,0.11166666666666636,0.05833333333333357,0.061666666666666536,0.0050000000000000044,0.10181572195269606,0.17355743913232846,0.09731276587003279,0.30094499408036457,0.042718446601941795,0.20786750188797143
